TMSTAMP,RECORD,Snow_Depth,Surface TempC_Avg,wind_speed_Avg,RH_Avg
2013-10-01T00:00:00,1959,0.031,-9.19,1.654861,84.73673
2013-10-01T01:00:00,1960,0.028,-10.41,2.218055,82.46885
2013-10-01T02:00:00,1961,0.036,-9.43,1.607986,84.55372
2013-10-01T03:00:00,1962,0.039,-7.607,1.372569,83.88206
2013-10-01T04:00:00,1963,0.038,-6.231,1.202778,81.48975
2013-10-01T05:00:00,1964,0.038,-6.721,1.275,82.06076
2013-10-01T06:00:00,1965,0.036,-7.428,1.569792,83.02708
2013-10-01T07:00:00,1966,0.038,-6.718,1.980208,82.09241
2013-10-01T08:00:00,1967,0.036,-9.68,1.307639,81.80709
2013-10-01T09:00:00,1968,0.038,-8.58,0.9232638,85.4818
2013-10-01T10:00:00,1969,0.031,-4.419,1.597916,79.97324
2013-10-01T11:00:00,1970,0.035,-3.524,1.787153,80.9569
2013-10-01T12:00:00,1971,0.035,-3.277,1.248958,81.69668
2013-10-01T13:00:00,1972,0.024,-0.274,1.689236,74.24152
2013-10-01T14:00:00,1973,0.025,1.023,1.255208,68.37645
2013-10-01T15:00:00,1974,0.011,0.092,0.9065972,66.94877
2013-10-01T16:00:00,1975,0.009,-2.778,1.029514,66.96781
2013-10-01T17:00:00,1976,0.015,-1.904,2.156597,71.89188
2013-10-01T18:00:00,1977,0.017,-6.455,1.797569,76.28872
2013-10-01T19:00:00,1978,0.024,-11.12,1.267014,84.97928
2013-10-01T20:00:00,1979,0.031,-11.19,1.104167,86.25549
2013-10-01T21:00:00,1980,0.027,-11.85,0.7496527,88.72612
2013-10-01T22:00:00,1981,0.029,-11.98,0.7552083,86.68215
2013-10-01T23:00:00,1982,0.029,-12.11,1.076389,88.85071
2013-10-02T00:00:00,1983,0.032,-9.16,1.332292,89.84599
2013-10-02T01:00:00,1984,0.029,-10.67,1.773264,86.4402
2013-10-02T02:00:00,1985,0.022,-13.84,0.7583333,88.6868
2013-10-02T03:00:00,1986,0.031,-14.54,0.9097222,91.20696
2013-10-02T04:00:00,1987,0.037,-15.02,0.7166666,88.30137
2013-10-02T05:00:00,1988,0.025,-14.63,0.7868055,85.8166
2013-10-02T06:00:00,1989,0.035,-15.32,1.216319,87.19557
2013-10-02T07:00:00,1990,0.045,-11.85,1.508333,88.12489
2013-10-02T08:00:00,1991,0.03,-10.84,1.161111,85.03507
2013-10-02T09:00:00,1992,0.033,-10.04,1.25243,87.75225
2013-10-02T10:00:00,1993,0.039,-5.067,1.733333,85.68949
2013-10-02T11:00:00,1994,0.028,-3.805,1.726736,82.40059
2013-10-02T12:00:00,1995,0.032,-2.736,1.944097,82.74029
2013-10-02T13:00:00,1996,0.03,-1.069,0.7086805,78.29756
2013-10-02T14:00:00,1997,0.03,-0.122,0.4173611,71.94106
2013-10-02T15:00:00,1998,0.031,-1.141,0.3364583,70.76842
2013-10-02T16:00:00,1999,0.032,-2.879,1.048264,70.78547
2013-10-02T17:00:00,2000,0.031,-4.102,1.462847,72.7581
2013-10-02T18:00:00,2001,0.029,-5.71,0.3972222,76.89529
2013-10-02T19:00:00,2002,0.034,-6.07,0.4982639,80.21551
2013-10-02T20:00:00,2003,0.034,-6.328,0.3881944,83.10324
2013-10-02T21:00:00,2004,0.033,-6.433,0.2819444,84.28235
2013-10-02T22:00:00,2005,0.035,-6.256,0.4215278,84.24468
2013-10-02T23:00:00,2006,0.037,-5.934,1.307639,80.30485
2013-10-03T00:00:00,2007,0.035,-6.055,0.6201389,80.92951
2013-10-03T01:00:00,2008,0.037,-6.227,0.3940972,81.54811
2013-10-03T02:00:00,2009,0.034,-6.19,0.4534722,83.15412
2013-10-03T03:00:00,2010,0.036,-6.341,0.6315972,83.57083
2013-10-03T04:00:00,2011,0.037,-6.322,0.8059027,80.0632
2013-10-03T05:00:00,2012,0.04,-6.397,0.7989582,78.53073
2013-10-03T06:00:00,2013,0.037,-9.35,0.2440972,80.8271
2013-10-03T07:00:00,2014,0.03,-9.56,0.7184027,82.78677
2013-10-03T08:00:00,2015,0.036,-11.31,1.462153,82.18295
2013-10-03T09:00:00,2016,0.035,-10.35,2.072222,84.68692
2013-10-03T10:00:00,2017,0.033,-5.777,1.594097,78.57388
2013-10-03T11:00:00,2018,0.026,-3.023,1.251736,74.40992
2013-10-03T12:00:00,2019,0.021,-1.595,1.255208,68.54653
2013-10-03T13:00:00,2020,0.019,-2.15,2.292361,65.60426
2013-10-03T14:00:00,2021,0.02,-3.223,3.500694,66.74848
2013-10-03T15:00:00,2022,0.027,-4.274,3.445833,64.5564
2013-10-03T16:00:00,2023,0.029,-4.81,3.595486,67.92812
2013-10-03T17:00:00,2024,0.029,-5.907,4.425347,65.16947
2013-10-03T18:00:00,2025,0.026,-7.836,4.179861,64.01348
2013-10-03T19:00:00,2026,0.031,-9.32,3.457639,67.48012
2013-10-03T20:00:00,2027,0.031,-7.549,3.413194,68.35955
2013-10-03T21:00:00,2028,0.031,-7.421,4.200694,70.1302
2013-10-03T22:00:00,2029,0.031,-7.721,4.363889,71.06033
2013-10-03T23:00:00,2030,0.028,-7.938,4.645139,69.99489
2013-10-04T00:00:00,2031,0.034,-8.5,4.557986,72.68964
2013-10-04T01:00:00,2032,0.033,-7.535,5.44375,72.50169
2013-10-04T02:00:00,2033,0.031,-8.14,4.676041,72.1422
2013-10-04T03:00:00,2034,0.032,-8.02,4.223264,74.08739
2013-10-04T04:00:00,2035,0.03,-10.52,4.201389,71.55229
2013-10-04T05:00:00,2036,0.033,-9.9,4.035069,69.9075
2013-10-04T06:00:00,2037,0.028,-9.36,2.620833,72.88783
2013-10-04T07:00:00,2038,0.026,-9.25,1.846528,79.56833
2013-10-04T08:00:00,2039,0.029,-9.35,1.770139,77.94112
2013-10-04T09:00:00,2040,0.036,-8.24,1.762153,76.24983
2013-10-04T10:00:00,2041,0.039,-7.006,2.70868,72.8072
2013-10-04T11:00:00,2042,0.039,-6.308,2.85,68.6808
2013-10-04T12:00:00,2043,0.038,-5.773,1.801736,67.40881
2013-10-04T13:00:00,2044,0.033,-5.411,1.538194,73.75008
2013-10-04T14:00:00,2045,0.039,-5.217,4.597569,76.66159
2013-10-04T15:00:00,2046,0.036,-5.609,5.870486,71.69952
2013-10-04T16:00:00,2047,0.034,-5.986,5.677083,69.84093
2013-10-04T17:00:00,2048,0.036,-7.237,5.088194,70.81014
2013-10-04T18:00:00,2049,0.034,-8.38,3.957291,74.16329
2013-10-04T19:00:00,2050,0.035,-9.81,4.088542,75.87807
2013-10-04T20:00:00,2051,0.03,-9.58,3.184028,75.88657
2013-10-04T21:00:00,2052,0.036,-8.36,1.519444,74.58385
2013-10-04T22:00:00,2053,0.024,-10.46,2.218055,72.93533
2013-10-04T23:00:00,2054,0.029,-10.28,2.429514,73.97762
2013-10-05T00:00:00,2055,0.033,-11.95,2.114236,72.8559
2013-10-05T01:00:00,2056,0.03,-12.05,1.961111,73.52528
2013-10-05T02:00:00,2057,0.026,-14.07,1.968055,74.88412
2013-10-05T03:00:00,2058,0.036,-15.09,1.949653,77.20557
2013-10-05T04:00:00,2059,0.03,-15.38,2.753125,77.74064
2013-10-05T05:00:00,2060,0.035,-12.57,1.772569,77.20314
2013-10-05T06:00:00,2061,0.037,-11.32,1.548611,75.47701
2013-10-05T07:00:00,2062,0.039,-10.98,1.551389,75.00684
2013-10-05T08:00:00,2063,0.041,-9.55,0.7326389,73.76952
2013-10-05T09:00:00,2064,0.043,-10.36,1.129514,74.72672
