TMSTAMP,RECNBR,Snow_Depth,Surface TempC_Avg,wind_speed_Avg,Air_Temp_Avg,RH_Avg
2014-07-26T10:00:00,0,0.114,13.650,1.157,12.529,78.956
2014-07-26T11:00:00,1,0.059,15.150,0.569,14.283,76.374
2014-07-26T12:00:00,2,0.058,16.300,0.993,15.232,73.925
2014-07-26T13:00:00,3,0.053,17.630,0.849,16.952,70.977
2014-07-26T14:00:00,4,0.052,17.640,1.335,15.482,71.824
2014-07-26T15:00:00,5,0.071,15.040,0.918,12.850,74.858
2014-07-26T16:00:00,6,0.073,13.550,0.195,13.131,79.485
2014-07-26T17:00:00,7,0.066,12.010,0.576,11.742,84.130
2014-07-26T18:00:00,8,0.069,11.270,1.020,11.606,86.507
2014-07-26T19:00:00,9,0.049,10.660,1.103,9.336,85.383
2014-07-26T20:00:00,10,0.052,7.799,2.194,6.474,88.705
2014-07-26T21:00:00,11,0.058,6.708,2.636,6.069,90.507
2014-07-26T22:00:00,12,0.061,5.993,1.781,6.187,92.225
2014-07-26T23:00:00,13,0.063,5.891,2.483,6.222,91.878
2014-07-27T00:00:00,14,0.056,5.679,1.857,4.798,92.372
2014-07-27T01:00:00,15,0.060,5.689,2.039,5.680,93.390
2014-07-27T02:00:00,16,0.062,5.170,2.136,5.409,92.980
2014-07-27T03:00:00,17,0.060,4.376,2.026,5.646,94.563
2014-07-27T04:00:00,18,0.067,3.617,1.743,5.782,94.329
2014-07-27T05:00:00,19,0.064,5.916,2.176,7.952,92.057
2014-07-27T06:00:00,20,0.064,7.204,1.535,9.204,88.431
2014-07-27T07:00:00,21,0.060,10.740,1.288,9.017,87.512
2014-07-27T08:00:00,22,0.046,11.690,1.658,9.357,83.797
2014-07-27T09:00:00,23,0.064,11.860,2.538,8.305,81.701
2014-07-27T10:00:00,24,0.059,11.700,2.770,8.312,81.294
2014-07-27T11:00:00,25,0.056,12.290,2.426,8.555,79.240
2014-07-27T12:00:00,26,0.052,12.810,2.864,9.161,79.276
2014-07-27T13:00:00,27,0.045,15.780,2.441,10.644,73.556
2014-07-27T14:00:00,28,0.040,16.670,3.136,11.729,71.785
2014-07-27T15:00:00,29,0.048,16.370,2.933,9.989,70.177
2014-07-27T16:00:00,30,0.033,16.140,2.469,10.387,72.876
2014-07-27T17:00:00,31,0.034,14.830,2.202,7.879,71.039
2014-07-27T18:00:00,32,0.044,10.790,2.239,6.576,76.427
2014-07-27T19:00:00,33,0.050,9.150,2.440,7.628,78.474
2014-07-27T20:00:00,34,0.040,7.755,2.118,5.730,76.796
2014-07-27T21:00:00,35,0.045,6.115,1.383,5.340,83.063
2014-07-27T22:00:00,36,0.054,5.025,1.700,5.646,84.704
2014-07-27T23:00:00,37,0.059,4.001,1.005,4.561,85.268
2014-07-28T00:00:00,38,0.063,3.630,1.314,5.681,89.608
2014-07-28T01:00:00,39,0.050,3.597,0.981,3.959,88.952
2014-07-28T02:00:00,40,0.054,3.410,0.730,4.138,92.220
2014-07-28T03:00:00,41,0.060,3.767,1.376,4.919,91.484
2014-07-28T04:00:00,42,0.063,4.450,2.213,5.461,87.221
2014-07-28T05:00:00,43,0.059,5.198,1.408,5.292,84.202
2014-07-28T06:00:00,44,0.059,5.483,0.658,4.986,87.788
2014-07-28T07:00:00,45,0.064,8.090,0.824,9.655,85.689
2014-07-28T08:00:00,46,0.053,9.050,1.926,6.799,77.281
2014-07-28T09:00:00,47,0.059,9.690,2.487,6.562,81.023
2014-07-28T10:00:00,48,0.057,11.790,1.930,7.850,78.571
2014-07-28T11:00:00,49,0.063,12.970,2.828,8.857,75.512
2014-07-28T12:00:00,50,0.050,12.860,2.715,9.527,75.683
2014-07-28T13:00:00,51,0.055,14.330,2.528,10.136,72.652
2014-07-28T14:00:00,52,0.057,13.250,2.377,8.034,72.965
2014-07-28T15:00:00,53,0.056,11.940,1.569,9.696,73.942
2014-07-28T16:00:00,54,0.061,12.490,2.609,9.153,73.518
2014-07-28T17:00:00,55,0.055,14.110,2.398,10.293,70.570
2014-07-28T18:00:00,56,0.059,11.170,2.233,9.389,73.985
2014-07-28T19:00:00,57,0.068,9.990,1.703,8.644,76.837
2014-07-28T20:00:00,58,0.066,8.900,1.380,7.021,82.552
2014-07-28T21:00:00,59,0.069,7.159,1.539,6.799,85.986
2014-07-28T22:00:00,60,0.072,6.381,1.398,6.562,83.404
2014-07-28T23:00:00,61,0.064,5.650,1.022,5.680,85.322
2014-07-29T00:00:00,62,0.077,5.282,0.868,5.680,89.277
2014-07-29T01:00:00,63,0.076,5.527,1.085,6.528,87.198
2014-07-29T02:00:00,64,0.071,5.665,1.223,6.121,85.467
2014-07-29T03:00:00,65,0.070,5.661,1.134,6.426,89.480
2014-07-29T04:00:00,66,0.076,6.482,0.616,7.036,88.107
2014-07-29T05:00:00,67,0.070,6.930,0.612,7.104,86.343
2014-07-29T06:00:00,68,0.066,7.131,1.151,6.697,87.054
2014-07-29T07:00:00,69,0.063,7.987,1.164,7.375,83.634
2014-07-29T08:00:00,70,0.061,9.200,1.918,8.834,79.473
2014-07-29T09:00:00,71,0.055,10.010,2.041,8.393,77.022
2014-07-29T10:00:00,72,0.052,9.420,3.669,7.714,80.673
2014-07-29T11:00:00,73,0.051,11.150,2.095,8.901,80.007
